ING773,Inglés VII,3
ING873,Inglés VII,3
IOP703,Investigación de Operaciones,3
ISF614,Ingeniería del Software I,4
ISF724,Ingeniería de Software II,4
ISR602,Impuesto Sobre la Renta,2
ITP829,Informe Técnico de Pasantías Profesionales,21
IUN102,Iniciación Universitaria,2
LAD502,Laboratorio de Datos,2
LAF312,Laboratorio de Física I,2
LAF422,Laboratorio de Física II,2
LAQ212,Laboratorio de Química I,2
LAQ302,Laboratorio de Química,2
LAQ322,Laboratorio de Química II,2
LAQ432,Laboratorio de Química III,2
LAQ502,Laboratorio de Química Ambiental,2
LCI803,Logística del Comercio Internacional,3
LEG612,Legislación Marítima I,2
LEG723,Legislación Marítima II,3
LEG823,Legislación Marítima II,3
LEN112,Lenguaje y Comunicación I,2
LEN113,Lenguaje y Comunicación I,3
LEN222,Lenguaje y Comunicación II,2
LEN223,Lenguaje y Comunicación II,3
LFI402,Legislación Fiscal,2
LIA812,Laboratorio de Ingeniería Ambiental I,2
LIA922,Laboratorio de Ingeniería Ambiental II,2
LIM412,Laboratorio de Ingeniería Marítima I,2
LIM522,Laboratorio de Ingeniería Marítima II,2
LIM633,Laboratorio de Ingeniería Marítima III,3
LIM743,Laboratorio de Ingeniería Marítima IV,3
LME302,Legislación Mercantil,2
LOG103,Lógica,3
LYC102,Lenguaje y Comunicación,2
LYC110,Lenguaje y Comunicación I,2
LYC210,Lenguaje y Comunicaciòn II,2
MAD602,Modelos Administrativos,2
MAD802,Modelos Administrativos,2
MAN604,Manejo y Estiba de la Carga,4
MAT114,Matemáticas I,4
MAT224,Matemáticas II,4
MAT302,Matemática Discreta,2
MBU602,Mantenimiento de Buques,2
MDD903,Manejo de Desechos,3
MEI212,Metodología de la Investigación I,2
MEI322,Metodología de la Investigación II,2
MEI512,Metodología de la Investigación I,2
MEI612,Metodología de la Investigación I,2
MEI622,Metodología de la Investigación II,2
MEI722,Metodología de la Investigación II,2
MEM603,Máquinas y Equipos Marinos,3
MET320,Metodología de la Investigación I,2
MET412,Metodología de la Investigación II,2
MET504,Meteorología y Oceanografía,4
MET613,Metodología I,3
MET723,Metodología II,3
MET803,Mecatrónica,3
MFI303,Matemáticas Financieras,3
MIA603,Microbiología Ambiental,3
MIM803,Mantenimiento de Instalaciones Marinas,3
MOB803,Maniobras y Operaciones del Buque,3
MSO403,Mecánica de los Sólidos,3
MTI603,Modos de Transporte Internacional,3
NAV702,Navegación,2
NCE613,Navegación Costera y Estima I,3
NCE723,Navegación Costera y Estima II,3
NCT820,Nuevos Circuitos Turísticos (Tend act),5
NEL803,Navegación Electrónica,3
NRC960,"Negociaciones, Mediación y Resolución de Conflictos",1
NTC503,Nuevas Tendencias del Comercio,3
NYM903,Negociación y Mercadeo,3
OAE202,Organización y Administración de Empresas,2
OAE302,Organización y Admin. de Empresas,2
ODE360,Organización de Eventos,4
OPT690,Organización y Programación del Trabajo,1
OTC903,Organización y Tratados Comerciales,3
OYP502,Organización y Programación del Trabajo,2
PAD502,Procesos Aduanales,2
PAMC603,Problemática Ambiental Marino Costera,3
PAP10020,Pasantías Profesionales,20
PAP19,Pasantía Profesional,19
PCH460,Patrmonio Cult y Nat de la Humanidad I,4
PCH560,Patrimonio Cultural y Natural de la Humanidad II,4
PCH760,Patrimonio Cultural y Natural de la Humanidad III,4
PCH840,Patrimonio Cult y Nat de la Humanidad IV,4
PCH850,Patrimonio Cult y Nat de la Humanidad V,4
PCI803,Políticas del Comercio Internacional,3
PDA802,Procesos de Auditoria,2
PDM102,Problemas del Desarrollo y medio ambiente,2
PDT703,Planificación del Transporte,3
PEN102,Desarrollo de Habilidades de Pensamiento,2
PES802,Planificación Estratégica,2
PGC603,Programación de Circuitos,3
PIH730,Proyecto Integral Hotelero Turístico I,4
PIH810,Proyecto Integral Hotelero Turístico II,4
PPAB12,Pasantía Profesional A Bordo (12 meses),12
PPR10017,Informe Final de Pasantía,17
PRD802,Producción,2
PRE603,Presupuesto,3
PRE803,Programación Emergente,3
PRI703,Procesos Industriales,3
PRO413,Programación I,3
PRO523,Programación II,3
PRO633,Programación III,3
PRO805,Sistemas de Máquinas Propulsoras,5
PRO903,Programación Multimedia,3
PRW703,Programación Web,3
PSC602,Problemática Social Contemporánea,2
PSI460,Psicología I,4
PSI560,Psicología II,4
PSI760,Psicología III,4
PUB540,Publicidad I,4
QUA403,Química Ambiental,3
QUI113,Química I,3
QUI223,Química II,3
QUI224,Química II,4
QUI334,Química III,4
RCB613,Redes Cableadas I,3
RCB723,Redes Cableadas II,3
RCI850,Relaciones y Comercio Internacional,4
RCT802,Regulación y Control de Transporte,2
REF802,Refrigeración,2
REP270,Relaciones Públicas I,4
RIB813,Redes Inalámbricas I,3
RIB923,Redes Inalámbricas II,3
RLC703,Régimen Legal del Comercio Internacional,3
RMM602,Reparación y Mantenimiento de Micros,2
RPV902,VPN Redes Privadas Virtuales,2
RSP603,Residuos Sólidos y Peligrosos,3
RYT502,Seminario de Redes y Telecomunicaciones,2
S01,Desarrollo Social,2
S02,Problemática Social Contemporánea,2
S15/S17,Ajuste y Ploteo de Radar/Manejo Ayudas Aut. de Radar,2
SAM802,Seguridad Ambiental y Medio Ambiente,2
SAP502,Seminario de Automatización de Procesos,2
SAU702,Sistemas Automatizados,2
SAU903,Sistemas Automatizados,3
